storename,storecontract,storeid,storeaddress,storecity,storestate,storezip,storephone,storecountry,latlonlocation,latlonlocationdv
Advance Auto Parts,CarQuest,100358,5354 MCARDLE ROAD,CORPUS CHRISTI,TX,78411,3619919119,USA,"27.7137296,-97.3727167","27.7137296,-97.3727167"
Advance Auto Parts,CarQuest,100359,4090 EAST ILIFF,DENVER,CO,80222,3037569423,USA,"39.6744701,-104.9397523","39.6744701,-104.9397523"
Advance Auto Parts,CarQuest,100360,207 W LAS ANIMAS,COLORADO SPRINGS,CO,80903,7196345635,USA,"38.8229913,-104.8302218","38.8229913,-104.8302218"
Advance Auto Parts,CarQuest,100361,153 PERRY ROAD,BANGOR,ME,04401,2079455418,USA,"44.784851,-68.7965865","44.784851,-68.7965865"
Advance Auto Parts,CarQuest,100362,2830 CARQUEST DRIVE,BRUNSWICK,OH,44212,3302253188,USA,"41.2485885,-81.7872688","41.2485885,-81.7872688"
Advance Auto Parts,CarQuest,100363,9031-B FARROW ROAD,COLUMBIA,SC,29203,8034191062,USA,"34.1112833,-80.9499742","34.1112833,-80.9499742"
Advance Auto Parts,CarQuest,100364,2635  EAST MILLBROOK RD,RALEIGH,NC,27604,9198768481,USA,"35.8489258,-78.5921791","35.8489258,-78.5921791"
Advance Auto Parts,CarQuest,100365,1544 S GIRL SCHOOL RD,INDIANAPOLIS,IN,46231,3172406277,USA,"39.7438261,-86.2904397","39.7438261,-86.2904397"
Advance Auto Parts,CarQuest,100366,1989 GEORGETOWN RD,LEXINGTON,KY,40511,8592590266,USA,"38.0897219,-84.5135347","38.0897219,-84.5135347"
Advance Auto Parts,CarQuest,100367,7339 AIRWAYS,SOUTHAVEN,MS,38671,6623491234,USA,"34.9672034,-89.9912171","34.9672034,-89.9912171"
Advance Auto Parts,CarQuest,100368,3065-A SELMA HIWAY,MONTGOMERY,AL,36108,3342842836,USA,"32.3091052,-86.3657117","32.3091052,-86.3657117"
Advance Auto Parts,CarQuest,100369,802 S 51ST AVE,PHOENIX,AZ,85043,6022821298,USA,"33.4389431,-112.1704065","33.4389431,-112.1704065"
Advance Auto Parts,CarQuest,100370,10325 EAST 49TH AVE UNIT B,DENVER,CO,80238,3035743300,USA,"39.7879807,-104.8691775","39.7879807,-104.8691775"
Advance Auto Parts,CarQuest,100371,4001 HAWKINS NE,ALBUQUERQUE,NM,87109,5053431234,USA,"35.1636833,-106.5987386","35.1636833,-106.5987386"
Advance Auto Parts,CarQuest,100372,900-B N. INDEPENDENCE,ROMEOVILLE,IL,60446,6303781128,USA,"41.6643753,-88.0709901","41.6643753,-88.0709901"
Advance Auto Parts,CarQuest,100373,7751 NEIMAN RD,SHAWNEE,KS,66214,9139625000,USA,"38.9883475,-94.7130418","38.9883475,-94.7130418"
Advance Auto Parts,CarQuest,100374,1255 SOUTH 3600 WEST,SALT LAKE CITY,UT,84104,8018868708,USA,"40.7419364,-111.9757681","40.7419364,-111.9757681"
Advance Auto Parts,CarQuest,100375,6676 SOUTH WADSWORTH BLVD,LITTLETON,CO,80123,3039329666,USA,"39.5959708,-105.0906777","39.5959708,-105.0906777"
Advance Auto Parts,CarQuest,100376,E. 104TH AVENUE,COMMERCE CITY,CO,80022,,USA,"39.885123,-104.8639941","39.885123,-104.8639941"
Advance Auto Parts,CarQuest,100377,5302 SOUTH FEDERAL CIRCLE,LITTLETON,CO,80123,3039850100,USA,"39.6194411,-105.0286196","39.6194411,-105.0286196"
Advance Auto Parts,CarQuest,100378,6701 S. POTOMAC ST.,CENTENNIAL,CO,80112,,USA,"39.5944401,-104.8317665","39.5944401,-104.8317665"
Advance Auto Parts,CarQuest,100379,107 NORTH GREENVILLE,ALLEN,TX,75002,,USA,"33.1019466,-96.662513","33.1019466,-96.662513"
Advance Auto Parts,CarQuest,100380,11855 LAKE JUNE ROAD,BALCH SPRINGS,TX,75180,9722856772,USA,"32.7344431,-96.6232731","32.7344431,-96.6232731"
Advance Auto Parts,CarQuest,100381,725 SW WILSHIRE BLVD,BURLESON,TX,76028,8174264373,USA,"32.533148,-97.3359171","32.533148,-97.3359171"
Advance Auto Parts,CarQuest,100382,6540 CAMP BOWIE BLVD,FORT WORTH,TX,76116,8174846286,USA,"32.7234919,-97.4293051","32.7234919,-97.4293051"
Advance Auto Parts,CarQuest,100383,106 EAST BELTLINE ROAD,CEDAR HILL,TX,75104,9722931232,USA,"32.5894784,-96.9416714","32.5894784,-96.9416714"
Advance Auto Parts,CarQuest,100384,409 W. HENDERSON STREET,CLEBURNE,TX,76031,6829706421,USA,"32.3465839,-97.3905803","32.3465839,-97.3905803"
Advance Auto Parts,CarQuest,100385,926 COCKRELL HILL ROAD,COCKRELL HILL,TX,75211,2148107098,USA,"32.7363494,-96.8909413","32.7363494,-96.8909413"
Advance Auto Parts,CarQuest,100386,1225 COIT ROAD,PLANO,TX,75075,9728054630,USA,"33.0163883,-96.7673418","33.0163883,-96.7673418"
Advance Auto Parts,CarQuest,100387,6300 DENTON HIGHWAY,DENTON,TX,76148,8175032181,USA,"32.8609806,-97.2635121","32.8609806,-97.2635121"
Advance Auto Parts,CarQuest,100388,900 DALLAS DR,DENTON,TX,76205,9404841312,USA,"33.2006484,-97.1268943","33.2006484,-97.1268943"
Advance Auto Parts,CarQuest,100389,1225 EAST BELTLINE ROAD,DESOTO,TX,75115,4695302774,USA,"32.5900443,-96.8254278","32.5900443,-96.8254278"
Advance Auto Parts,CarQuest,100390,4054 EAST LANCASTER AVENUE,FORT WORTH,TX,76103,8175353113,USA,"32.7405911,-97.2649065","32.7405911,-97.2649065"
Advance Auto Parts,CarQuest,100391,1111 EAST ABRAM STREET,ARLINGTON,TX,76010,8174592244,USA,"32.7360819,-97.0955255","32.7360819,-97.0955255"
Advance Auto Parts,CarQuest,100392,1120 EAST IRVING BLVD.,IRVING,TX,75060,9725793430,USA,"32.8101815,-96.9325706","32.8101815,-96.9325706"
Advance Auto Parts,CarQuest,100393,603 W. EULESS BLVD,EULESS,TX,76040,8175107018,USA,"32.8331508,-97.0917043","32.8331508,-97.0917043"
Advance Auto Parts,CarQuest,100394,14024 JOSEY LANE,DALLAS,TX,75234,9722472555,USA,"32.9368421,-96.8901451","32.9368421,-96.8901451"
Advance Auto Parts,CarQuest,100395,5301 WICHITA STREET SUITE 100,FOREST HILL,TX,76119,8175353223,USA,"32.6826314,-97.2795116","32.6826314,-97.2795116"
Advance Auto Parts,CarQuest,100396,11323 GARLAND ROAD,DALLAS,TX,75218,2146609967,USA,"32.8493181,-96.6839135","32.8493181,-96.6839135"
Advance Auto Parts,CarQuest,100397,425 SOUTH BELTLINE RD,GRAND PRAIRIE,TX,75051,9726421677,USA,"32.741358,-96.9951046","32.741358,-96.9951046"
Advance Auto Parts,CarQuest,100398,2300 HALTOM ROAD,HALTOM CITY,TX,76117,6826470006,USA,"32.7944372,-97.2726618","32.7944372,-97.2726618"
Advance Auto Parts,CarQuest,100399,4037 HEMPHILL STREET,FORT WORTH,TX,76115,8177688123,USA,"32.6894893,-97.3312975","32.6894893,-97.3312975"
Advance Auto Parts,CarQuest,100400,750 WEST PIPELINE ROAD,HURST,TX,76053,8172850550,USA,"32.8247813,-97.1860558","32.8247813,-97.1860558"
Advance Auto Parts,CarQuest,100401,2484 WEST ILLINOIS AVENUE,DALLAS,TX,75233,2146230778,USA,"32.7197576,-96.8587209","32.7197576,-96.8587209"
Advance Auto Parts,CarQuest,100402,2880 INWOOD ROAD,DALLAS,TX,75235,2143500030,USA,"32.8240285,-96.8328097","32.8240285,-96.8328097"
Advance Auto Parts,CarQuest,100403,2220 JACKSBORO HIGHWAY,FORT WORTH,TX,76114,8176253808,USA,"32.7842528,-97.3795713","32.7842528,-97.3795713"
Advance Auto Parts,CarQuest,100404,1890 K AVENUE,PLANO,TX,75074,9724222308,USA,"33.025702,-96.6987061","33.025702,-96.6987061"
Advance Auto Parts,CarQuest,100405,459 KELLER PARKWAY,KELLER,TX,76248,8173793933,USA,"32.9348906,-97.2436263","32.9348906,-97.2436263"
Advance Auto Parts,CarQuest,100406,152 WEST DEBBIE LANE,MANSFIELD,TX,76063,8174731818,USA,"32.591257,-97.1481797","32.591257,-97.1481797"
Advance Auto Parts,CarQuest,100407,,MESQUITE,TX,75150,,USA,"32.824634,-96.6317461","32.824634,-96.6317461"
Advance Auto Parts,CarQuest,100408,2650 MIDWAY ROAD,CARROLLTON,TX,75006,9727359393,USA,"32.9859773,-96.8414209","32.9859773,-96.8414209"
Advance Auto Parts,CarQuest,100409,711 PIONEER PARKWAY,ARLINGTON,TX,76013,8174600630,USA,"32.708865,-97.1149926","32.708865,-97.1149926"
Advance Auto Parts,CarQuest,100410,450 NORTH PLANO ROAD,GARLAND,TX,75042,9722725646,USA,"32.9157726,-96.6997799","32.9157726,-96.6997799"
Advance Auto Parts,CarQuest,100411,7072 BOULEVARD 26,RICHLAND HILLS,TX,76180,8175952820,USA,"32.8221219,-97.2291764","32.8221219,-97.2291764"
Advance Auto Parts,CarQuest,100412,1415 S. GOLIAD STREET,ROCKWALL,TX,75087,9727222725,USA,"32.9142777,-96.4531322","32.9142777,-96.4531322"
Advance Auto Parts,CarQuest,100413,5414 ROWLETT ROAD,ROWLETT,TX,75089,9724122424,USA,"32.9092212,-96.5687884","32.9092212,-96.5687884"
Advance Auto Parts,CarQuest,100414,5020 SOUTH LANCASTER RD,DALLAS,TX,75216,2143728000,USA,"32.6874388,-96.7894318","32.6874388,-96.7894318"
Advance Auto Parts,CarQuest,100415,117 SOUTH CARROLL AVE,DALLAS,TX,75226,4698935008,USA,"32.7908303,-96.7670281","32.7908303,-96.7670281"
Advance Auto Parts,CarQuest,100416,200 SOUTH SAGINAW BLVD,SAGINAW,TX,76179,8172328788,USA,"32.8587381,-97.3632617","32.8587381,-97.3632617"
Advance Auto Parts,CarQuest,100417,103 SOUTH 1ST STREET,GARLAND,TX,75040,9722051971,USA,"32.9119483,-96.6312977","32.9119483,-96.6312977"
Advance Auto Parts,CarQuest,100418,1685 SOUTH BUCKNER,DALLAS,TX,75217,2143989300,USA,"32.7412178,-96.6834436","32.7412178,-96.6834436"
Advance Auto Parts,CarQuest,100419,2904 N BELT LINE RD SUITE 2928,IRVING,TX,75062,9722522198,USA,"32.845124,-96.991276","32.845124,-96.991276"
Advance Auto Parts,CarQuest,100420,4901 MAIN STREET,THE COLONY,TX,75056,4693623696,USA,"33.0783678,-96.893456","33.0783678,-96.893456"
Advance Auto Parts,CarQuest,100421,6401 MCCART AVENUE,FORT WORTH,TX,76133,8172923377,USA,"32.6522248,-97.3644164","32.6522248,-97.3644164"
Advance Auto Parts,CarQuest,100422,1123 CANTRELL SANSOM RD,BLUE MOUND,TX,76131,8178061678,USA,"32.8492668,-97.336466","32.8492668,-97.336466"
Advance Auto Parts,CarQuest,100423,401 E. CAMP WISDOM ROAD,DUNCANVILLE,TX,75116,9722982855,USA,"32.6619999,-96.9021106","32.6619999,-96.9021106"
Advance Auto Parts,CarQuest,100424,2929 ALAMEDA AVE,EL PASO,TX,79905,9153173025,USA,"31.7738202,-106.4604186","31.7738202,-106.4604186"
Advance Auto Parts,CarQuest,100425,5372 DONIPHAN ROAD,EL PASO,TX,79932,9154445017,USA,"31.8540975,-106.5840508","31.8540975,-106.5840508"
Advance Auto Parts,CarQuest,100426,8305 DYER STREET STE A,EL PASO,TX,79904,9154445018,USA,"31.8554991,-106.4381486","31.8554991,-106.4381486"
Advance Auto Parts,CarQuest,100427,9426 MONTANA STREET,EL PASO,TX,79925,9156132646,USA,"31.7940171,-106.3597625","31.7940171,-106.3597625"
Advance Auto Parts,CarQuest,100428,615 NORTH ZARAGOZA ROAD,EL PASO,TX,79907,,USA,"31.7042312,-106.3213163","31.7042312,-106.3213163"
Advance Auto Parts,CarQuest,100429,1401 EAST MULBERRY,FT COLLINS,CO,80524,9703724043,USA,"40.580566,-105.0519286","40.580566,-105.0519286"
Advance Auto Parts,CarQuest,100430,1124 W DIVISION,ARLINGTON,TX,76012,8175487278,USA,"32.7387412,-97.121857","32.7387412,-97.121857"
Advance Auto Parts,CarQuest,100431,104 E SHORT ST,KENNEDALE,TX,76060,8174781128,USA,"32.6456111,-97.2208681","32.6456111,-97.2208681"
Advance Auto Parts,CarQuest,100432,2893 NORTH AVENUE,GRAND JUNCTION,CO,81501,9704624020,USA,"39.0769867,-108.5167739","39.0769867,-108.5167739"
Advance Auto Parts,CarQuest,100433,3805 SOUTH EAST STREET,INDIANAPOLIS,IN,46227,3177890094,USA,"39.7112614,-86.1483469","39.7112614,-86.1483469"
Advance Auto Parts,CarQuest,100434,7004 SOUTH CEDAR STREET,LANSING,MI,48911,5172688592,USA,"42.6560744,-84.5349561","42.6560744,-84.5349561"
Advance Auto Parts,CarQuest,100435,600 E PRIEN LAKE ROAD,LAKE CHARLES,LA,70601,3374775145,USA,"30.1979028,-93.2136727","30.1979028,-93.2136727"
Advance Auto Parts,CarQuest,100436,309 NORTH CANAL STREET,LEESBURG,FL,34749,3527871262,USA,"28.8130343,-81.8738672","28.8130343,-81.8738672"
Advance Auto Parts,CarQuest,100437,2500 PLANTSIDE DRIVE,LOUISVILLE,KY,40299,5024933837,USA,"38.2087084,-85.5630192","38.2087084,-85.5630192"
Advance Auto Parts,CarQuest,100438,6989 STAGE ROAD,BARTLETT,TN,38133,9013738464,USA,"35.2043815,-89.8302728","35.2043815,-89.8302728"
Advance Auto Parts,CarQuest,100439,13840 INDUSTRIAL PARK BLVD,PLYMOUTH,MN,55441,7635502700,USA,"45.0011158,-93.4551378","45.0011158,-93.4551378"
Advance Auto Parts,CarQuest,100440,106 N FRANKLIN,DUNKIRK,IN,47336,7657687770,USA,"40.3759072,-85.2108957","40.3759072,-85.2108957"
Advance Auto Parts,CarQuest,100441,701 WEST 8TH STREET,MUNCIE,IN,47302,7652885544,USA,"40.1816543,-85.3940991","40.1816543,-85.3940991"
Advance Auto Parts,CarQuest,100442,1735 WASHINGTON BLVD,OGDEN,UT,84404,8013934321,USA,"41.2360715,-111.9709182","41.2360715,-111.9709182"
Advance Auto Parts,CarQuest,100443,2 APACHE TRAIL,,AZ,85120,,USA,"33.4146376,-111.5491355","33.4146376,-111.5491355"
Advance Auto Parts,CarQuest,100444,PARCEL # 500-10-008-D,AVONDALE,AZ,85323,,USA,"33.4334649,-112.3278161","33.4334649,-112.3278161"
Advance Auto Parts,CarQuest,100445,,MESA,AZ,85208,,USA,"33.3996663,-111.6332808","33.3996663,-111.6332808"
Advance Auto Parts,CarQuest,100446,701 EAST DUNLAP AVENUE,PHOENIX,AZ,85020,6029442269,USA,"33.567287,-112.064432","33.567287,-112.064432"
Advance Auto Parts,CarQuest,100447,3246 W INDIAN SCHOOL ROAD,PHOENIX,AZ,85017,6029951100,USA,"33.4954909,-112.129096","33.4954909,-112.129096"
Advance Auto Parts,CarQuest,100448,1202 WEST UNIVERSITY DRIVE,MESA,AZ,85201,4808337811,USA,"33.4227824,-111.857138","33.4227824,-111.857138"
Advance Auto Parts,CarQuest,100449,18630 NORTH 19TH AVENUE,PHOENIX,AZ,85027,6234556725,USA,"33.6562501,-112.1001502","33.6562501,-112.1001502"
Advance Auto Parts,CarQuest,100450,2240 NORTH SCOTTSDALE,TEMPE,AZ,85281,,USA,"33.4538972,-111.9271441","33.4538972,-111.9271441"
Advance Auto Parts,CarQuest,100451,15475 N. NORTHSIGHT BLVD,SCOTTSDALE,AZ,85260,4809225511,USA,"33.6258354,-111.8942605","33.6258354,-111.8942605"
Advance Auto Parts,CarQuest,100452,300 PHOENIX DRIVE,FINLEYVILLE,PA,15332,7243485832,USA,"40.2826025,-80.0175638","40.2826025,-80.0175638"
Advance Auto Parts,CarQuest,100453,141 WEST BEAU ST,WASHINGTON,PA,15301,7242283500,USA,"40.1708766,-80.249313","40.1708766,-80.249313"
Advance Auto Parts,CarQuest,100454,215 E CEDAR,POCATELLO,ID,83206,2082341850,USA,"42.8874043,-112.4497","42.8874043,-112.4497"
Advance Auto Parts,CarQuest,100455,429 N. 5TH AVENUE,POCATELLO,ID,83201,2082331335,USA,"42.8690264,-112.4469435","42.8690264,-112.4469435"
Advance Auto Parts,CarQuest,100456,17060 RUBEN LANE,SANDY,OR,97055,5036687402,USA,"45.399856,-122.2781981","45.399856,-122.2781981"
Advance Auto Parts,CarQuest,100457,19375 SW TUALATIN VALLEY HWY,BEAVERTON,OR,97003,5032599837,USA,"45.4952483,-122.8762861","45.4952483,-122.8762861"
Advance Auto Parts,CarQuest,100458,96 W MAIN STREET,RICHMOND,IN,47374,7659661571,USA,"39.8296403,-84.902628","39.8296403,-84.902628"
Advance Auto Parts,CarQuest,100459,12929 BANDERA RD,HELOTES,TX,78023,2106958524,USA,"29.5635764,-98.6843524","29.5635764,-98.6843524"
Advance Auto Parts,CarQuest,100460,328 W PEDEN,SAN ANTONIO,TX,78204,2102264172,USA,"29.4102755,-98.5032846","29.4102755,-98.5032846"
Advance Auto Parts,CarQuest,100461,14307 FIRST AVE SOUTH,BURIEN,WA,98168,2062432444,USA,"47.4747555,-122.334382","47.4747555,-122.334382"
Advance Auto Parts,CarQuest,100462,33530 PACIFIC HIGHWAY SOUTH,FEDERAL WAY,WA,98003,2536617222,USA,"47.3011751,-122.3125784","47.3011751,-122.3125784"
Advance Auto Parts,CarQuest,100463,10460 SE 256TH STREET,KENT,WA,98030,2535202070,USA,"47.3730409,-122.2001734","47.3730409,-122.2001734"
Advance Auto Parts,CarQuest,100464,358 WEST 500 SOUTH,BOUNTIFUL,UT,84010,8016830578,USA,"40.8846915,-111.8886712","40.8846915,-111.8886712"
Advance Auto Parts,CarQuest,100465,2260 SOUTH 300 EAST,SALT LAKE CITY,UT,84115,8014875727,USA,"40.7219587,-111.8830353","40.7219587,-111.8830353"
Advance Auto Parts,CarQuest,100466,1436 NORTH MAIN,LAYTON,UT,84041,8015441941,USA,"41.081233,-111.9898364","41.081233,-111.9898364"
Advance Auto Parts,CarQuest,100467,12583 S 2200 W,RIVERTON,UT,84065,8013088170,USA,"40.5229692,-111.9482337","40.5229692,-111.9482337"
Advance Auto Parts,CarQuest,100468,5740 SOUTH 1900 WEST,ROY,UT,84067,8017793223,USA,"41.1590008,-112.0251526","41.1590008,-112.0251526"
Advance Auto Parts,CarQuest,100469,887 W 400 S,SPRINGVILLE,UT,84663,8018220250,USA,"40.1606401,-111.6264337","40.1606401,-111.6264337"
Advance Auto Parts,CarQuest,100470,10620 PACIFIC HIGHWAY S,LAKEWOOD,WA,98499,2537197038,USA,"47.1611261,-122.4857258","47.1611261,-122.4857258"
Advance Auto Parts,CarQuest,100471,14620 PACIFIC AVE. S.,PARKLAND,WA,98444,2537197026,USA,"47.123564,-122.435725","47.123564,-122.435725"
Advance Auto Parts,CarQuest,100472,3735 SOUTH PINE STREET,TACOMA,WA,98409,2534713915,USA,"47.223097,-122.4728582","47.223097,-122.4728582"
Advance Auto Parts,CarQuest,100473,6002 WEST BELL ROAD,GLENDALE,AZ,85308,6025048677,USA,"33.6393564,-112.1887095","33.6393564,-112.1887095"
ABC PARTS INC.,CarQuest,100474,41049 US HIGHWAY 6,AVON,CO,81620,9709494499,USA,"39.622431,-106.475096","39.622431,-106.475096"
ABSOLUTE AG SUPPLY,CarQuest,100475,74851 RICHLAND RD.,MASSENA,IA,50853,7127793623,USA,"41.2577624,-94.7619166","41.2577624,-94.7619166"
ACADEMY AUTO SUPPLY,CarQuest,100476,3093 HOLME AVE,PHILADELPHIA,PA,19136,2154641122,USA,"40.0568808,-75.0150442","40.0568808,-75.0150442"
ACE AUTO PARTS,CarQuest,100477,1679 EAST MAIN STREET,EASLEY,SC,29640,8648592222,USA,"34.8290584,-82.5725537","34.8290584,-82.5725537"
ACTION AUTO SUPPLY,CarQuest,100478,6298 HIGHWAY 15,WHITESBURG,KY,41858,6066339346,USA,"37.1546944,-82.8732739","37.1546944,-82.8732739"
ACTON AUTO PARTS,CarQuest,100479,3932 A SIERRA HWY,ACTON,CA,93510,6612691111,USA,"34.4922243,-118.200736","34.4922243,-118.200736"
ADVANTAGE RENTAL & SALES,CarQuest,100480,100 ROUTE 50,SEAVILLE,NJ,08230,6093908541,USA,"39.2229415,-74.7054028","39.2229415,-74.7054028"
"AF AUTO PARTS, INC.",CarQuest,100481,260 SOUTH MAIN STREET,ADAMS,WI,53910,6083393313,USA,"43.9547454,-89.817245","43.9547454,-89.817245"
AG POWER INC,CarQuest,100482,603 ORCHARD DR.,HILLSBORO,KS,67063,6209473944,USA,"38.3596543,-97.2117395","38.3596543,-97.2117395"
AGA SUPPLY INC,CarQuest,100483,ROUTE 22 DOVER VILLAGE PLAZA,DOVER PLAINS,NY,12522,8458773880,USA,"41.7342727,-73.5803071","41.7342727,-73.5803071"
AINSWORTH AUTO PARTS,CarQuest,100484,P.O. BOX 83,AINSWORTH,NE,69210,4023823600,USA,"42.5449992,-99.8615126","42.5449992,-99.8615126"
AJ'S AUTO PARTS,CarQuest,100485,518 KENT ST,MERKEL,TX,79536,3259285166,USA,"32.4754265,-100.011452","32.4754265,-100.011452"
AJ'S AUTO PARTS COLEMAN,CarQuest,100486,400 S. CONCHO,COLEMAN,TX,76834,3256252168,USA,"31.8279185,-99.4244316","31.8279185,-99.4244316"
ALBION AUTO PARTS,CarQuest,100487,295 EAST WALNUT,ALBION,IL,62806,6184453011,USA,"38.3737506,-88.0528427","38.3737506,-88.0528427"
ALBRECHT AUTO PARTS INC,CarQuest,100488,2106 1ST AVE,HIBBING,MN,55746,2182633649,USA,"47.4257732,-92.9414792","47.4257732,-92.9414792"
ALBURYS ABACO LTD,CarQuest,100489,QUEEN ELIZABETH DRIVE,MARSH HARBOR,AB,00000,2423672452,BHS,"26.5426074,-77.0591394","26.5426074,-77.0591394"
ALBURY'S FREEPORT LIMITED,CarQuest,100490,"LOT 1, BLOCK T, LOGWOOD ROAD W",FREEPORT,BS,00000,2426020940,BHS,"26.5416093,-78.6455475","26.5416093,-78.6455475"
ALBURYS NASSAU LTD,CarQuest,100491,TOP OF THE HILL MACKEY ST  4B,NASSAU,NP,00000,2426032780,USA,"25.0719263,-77.3230948","25.0719263,-77.3230948"
ALEX AUTO PARTES,CarQuest,100492,AVENIDA SONORA #110,CANANEA,SO,84620,(645) 332-5081,MEX,"30.984027,-110.3012415","30.984027,-110.3012415"
ALICEVILLE CARQUEST,CarQuest,100493,324 5TH STREET NW,ALICEVILLE,AL,35442,2053736302,USA,"33.1303125,-88.1561647","33.1303125,-88.1561647"
ALL ABOUT AUTO PARTS,CarQuest,100494,401 NORTH MAIN,ROCKY FORD,CO,81067,7193162330,USA,"38.0546039,-103.7190067","38.0546039,-103.7190067"
ALL MOTOR PARTS AND SUPPLY,CarQuest,100495,152 STOVER ROAD,LOS LUNAS,NM,87031,5058654686,USA,"34.8096003,-106.6981723","34.8096003,-106.6981723"
"ALL PARTS, INC.",CarQuest,100496,504096 TUN SEGUNDO ST,SAIPAN,MP,96950-4096,6702352302,MP ,"15.1558024,145.738391","15.1558024,145.738391"
"ALL PARTS, INC. #2",CarQuest,100497,504096 CHALAN PALE ARNOLD,GUALO RAI. SAIPAN,MP,96950-4096,6702352277,MP ,"15.1940638,145.719844","15.1940638,145.719844"
ALLIMAN INVESTMENTS INC,CarQuest,100498,71 NW SHERRY,WINSTON,OR,97496,5416798778,USA,"43.1252745,-123.4129765","43.1252745,-123.4129765"
ALMA AUTO PARTS,CarQuest,100499,818 HWY 183,ALMA,NE,68920,3089289919,USA,"40.1071535,-99.3676986","40.1071535,-99.3676986"
ALS AUTO SUPPLY,CarQuest,100500,586 WEST CHERRY ST,JESUP,GA,31545,9124279571,USA,"31.609931,-81.8881953","31.609931,-81.8881953"
AMERICAN AUTO SUPPLY,CarQuest,100501,2504 S MAIN STREET,HIGH POINT,NC,27263,3368837825,USA,"35.9292992,-79.9886938","35.9292992,-79.9886938"
AMSTERDAM AUTO PARTS,CarQuest,100502,140 CHURCH STREET,AMSTERDAM,NY,12010,5188426410,USA,"42.9380236,-74.1818419","42.9380236,-74.1818419"
ANDERSON AUTOMOTIVE SPLY.,CarQuest,100503,151 MAIN ST.,ANDERSON,TX,77830,9368732913,USA,"30.4879786,-95.986294","30.4879786,-95.986294"
ANDREWS AUTO PARTS,CarQuest,100504,PO BOX 1206,ANDREWS,NC,28901,8283214181,USA,"35.2017549,-83.8240667","35.2017549,-83.8240667"
"ANDY'S PARTS AND SERVICE, LLC",CarQuest,100505,P.O. BOX 779,CAPITAN,NM,88316,5753542216,USA,"33.5453572,-105.5722043","33.5453572,-105.5722043"
"AP AND H, INC.",CarQuest,100506,P. O. BOX 38,ORRVILLE,AL,36767,3349968821,USA,"32.3062505,-87.2455492","32.3062505,-87.2455492"
AP AUTO PARTS,CarQuest,100507,501 W ERIE AVE,PHILADELPHIA,PA,19140,2152261300,USA,"40.0077705,-75.1369792","40.0077705,-75.1369792"
APC CARROLLTON,CarQuest,100508,200 MAPLE STREET,CARROLLTON,GA,30117,7708347744,USA,"33.5784905,-85.0780914","33.5784905,-85.0780914"
APC CARTERSVILLE,CarQuest,100509,203 N TENNESSEE ST,CARTERSVILLE,GA,30120,7703821881,USA,"34.1699076,-84.792823","34.1699076,-84.792823"
APC ROCKMART,CarQuest,100510,101 GTM PARKWAY,ROCKMART,GA,30153,7706844846,USA,"34.0121862,-85.0461192","34.0121862,-85.0461192"
APC ROME,CarQuest,100511,309 NORTH 5TH AVENUE,ROME,GA,30165,7062910588,USA,"34.2584483,-85.1742018","34.2584483,-85.1742018"
APC VILLA RICA,CarQuest,100512,117 E MONTGOMERY STREET,VILLA RICA,GA,30180,7704562223,USA,"33.7303371,-84.918637","33.7303371,-84.918637"
"APZ AUTO SUPPLIES, INC.",CarQuest,100513,206 IRVING AVENUE,PORT CHESTER,NY,10573,9149353272,USA,"41.003061,-73.6669805","41.003061,-73.6669805"
ARMSTRONG AUTO PARTS LLC,CarQuest,100514,590 SUNSET DRIVE,GRENADA,MS,38901,6622279575,USA,"33.7695661,-89.8100705","33.7695661,-89.8100705"
ASHER AUTOMOTIVE LLC.,CarQuest,100515,63091 HWY 101,COOS BAY,OR,97420,5412672127,USA,"43.3554066,-124.2086098","43.3554066,-124.2086098"
ASHLAND AUTO AND AG,CarQuest,100516,509 DOUGLAS DRIVE,ASHLAND,MO,65010,5734880111,USA,"38.7686231,-92.2533852","38.7686231,-92.2533852"
"ASHLAND AUTO PARTS, INC.",CarQuest,100517,1952 HWY 66,ASHLAND,OR,97520,5414880803,USA,"42.1851463,-122.6799342","42.1851463,-122.6799342"
ASHLAND AUTO SUPPLY,CarQuest,100518,11 MAIN ST,ASHLAND,ME,04732,2074356940,USA,"46.6304153,-68.4040027","46.6304153,-68.4040027"
ASK CARQUEST OF DELTA,CarQuest,100519,266 W MAIN,DELTA,UT,84624,4358645932,USA,"39.3528041,-112.5806155","39.3528041,-112.5806155"
ATELIER MECANIQUE HARRICANA INC.,CarQuest,100520,"42, ROUTE 111 OUEST",AMOS,QC,J9T 1X7,8197323222,CAN,"48.5606828,-78.1220335","48.5606828,-78.1220335"
ATKINSONS AUTO PARTS,CarQuest,100521,3605 EVANS MILL ROAD,PAGELAND,SC,29728,8436725154,USA,"34.7300889,-80.3521618","34.7300889,-80.3521618"
ATLAS AUTO PARTS,CarQuest,100522,531 SECOND LINE E,SAULT STE MARIE,ON,P6B 4K2,7052546615,CAN,"46.5377409,-84.3243467","46.5377409,-84.3243467"
ATTICA AUTO SUPPLY,CarQuest,100523,59 MARKET ST,ATTICA,NY,14011,5855912464,USA,"42.8652067,-78.285431","42.8652067,-78.285431"
AUTO BARN,CarQuest,100524,377 TALBOT ST N,ESSEX,ON,N8M2W3,5197769885,CAN,"42.1835435,-82.8319591","42.1835435,-82.8319591"
